,Tenure,MonthlyCharge,Bandwidth_GB_Year,Timely response,Timely fixes,Timely replacement,Reliability,Options,Courteous exchange,Respectful response,Evidence of active listening
PC1,-0.010592374688227808,0.00032504424208599017,-0.012252245927288848,0.458930391779733,0.4341310855356387,0.4006361416547424,0.14580098561850752,-0.17563515937974689,0.358340110088933,0.40520666048092224,0.3089266056406666
PC2,0.7018171091088736,0.041312726504645014,0.7030669597968118,0.0314550612039031,0.04268963597830061,0.03477467387485809,-0.05044201574828889,0.06632548519014105,-0.003787665778126988,-0.012615082147179671,-0.017458423365081667
PC3,-0.07229418220193697,-0.013956020979218206,-0.07431625816221543,0.28114456614815353,0.2823912171918222,0.28110655331268375,-0.5678084599089556,0.5873366442233283,-0.18171219426662405,-0.18345250356278112,-0.13116016976793682
PC4,-0.0637876993741513,0.9969923453564971,0.004386350026859831,0.018548026905236364,0.007457823637557632,-0.01972075311926588,-0.010218056713740549,-0.00023741329512155795,-0.027703300316724404,0.004490011286513024,0.015410970300343232
PC5,0.005624017535545509,-0.02192793792336021,0.00979927532570627,-0.07022897842399473,-0.10662590667656738,-0.17375318438684106,-0.17133428512173374,0.13595410549920928,-0.1824114076768938,-0.0623315675005006,0.9316126049386798
PC6,-0.011112390880485356,0.015053720756990366,0.0033524978823485582,-0.11915372669938888,-0.16975802567552506,-0.25532232188611403,-0.4833215502305183,0.06012509846253659,0.8061779462317165,0.06459222462703332,-0.011135090583291585
PC7,0.007443917273183097,-0.017891831553959545,0.0036377566351167706,-0.045958631598332425,-0.06541238827151573,-0.14689650511359423,-0.4433646890534086,-0.2097679464089607,-0.3791240810346038,0.7579542455918629,-0.11330106593697414
PC8,-0.011583914986131103,-0.004242680621291131,-0.0022633121040707468,0.025434383565863205,0.07440614845119388,-0.396341852807832,0.4315244139591635,0.6938563236560641,0.06789281765080565,0.40283424545312957,-0.04514267595669965
PC9,0.006879641219518469,0.02377044582325034,-0.007985900656928665,-0.24056744425392926,-0.5921341225875674,0.6730815609448743,0.08721545919210055,0.26547905442271047,0.06728214398765929,0.23032726665361414,0.046112454482295416
PC10,0.003300782462457215,-0.013824553879151252,0.008516842383076987,0.7932383704379032,-0.5738272800107944,-0.17766878667864974,0.018299995381842436,-0.04201279231352058,-0.04094429834487577,-0.0639754751244386,-0.042250810977563544
PC11,-0.7054376578873306,-0.04798881561330237,0.7069247867422369,-0.004306622389191395,-0.0022099166245813243,0.01488326424213569,0.0021605883548996927,-0.0026253096642496684,-0.006826132088582046,0.0015754517223956878,-0.002559198551939106
